file_name,objective,runtime_seconds
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed5397_nonlin.out,1000.0,6.054509162902832
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed5619_nonlin.out,1000.0,197.99763202667236
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed7357_nonlin.out,1000.0,6.375155925750732
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed7858_nonlin.out,1000.0,5.959428071975708
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed9487_nonlin.out,1000.0,6.001255035400391
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed2956_nonlin.out,1000.0,6.76485800743103
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed3058_nonlin.out,1000.0,6.434417009353638
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed5444_nonlin.out,1000.0,6.768939018249512
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed5590_nonlin.out,1000.0,6.870388031005859
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed5619_nonlin.out,1000.0,6.736302137374878
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed6780_nonlin.out,1000.0,6.7401769161224365
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed7748_nonlin.out,1000.0,6.709444999694824
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed8239_nonlin.out,1000.0,6.794274091720581
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed8940_nonlin.out,1000.0,6.753959894180298
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed9446_nonlin.out,1000.0,6.65575385093689
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed2670_nonlin.out,1000.0,632.0431580543518
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed4511_nonlin.out,1000.0,63.70164608955383
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed6600_nonlin.out,1000.0,426.97123312950134
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed7219_nonlin.out,1000.0,103.45182681083679
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed8254_nonlin.out,1000.0,49.78328204154968
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed8266_nonlin.out,1000.0,48.33276891708374
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed8409_nonlin.out,1000.0,57.131853103637695
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed8602_nonlin.out,1000.0,89.88077688217163
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed9491_nonlin.out,1000.0,59.46525001525879
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed9537_nonlin.out,1000.0,61.143553018569946
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed1909_nonlin.out,1000.0,119.06592106819153
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed2002_nonlin.out,1000.0,122.21957421302795
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed2578_nonlin.out,1000.0,95.27623414993286
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed3976_nonlin.out,1000.0,150.60347986221313
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed4470_nonlin.out,1000.0,128.75042390823364
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed4732_nonlin.out,1000.0,72.85628700256348
