file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_only_y__seed2645.out,3.49,2.60,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_only_y__seed6023.out,6.91,3.96,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_only_y__seed7291.out,7.44,4.07,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_only_y__seed8644.out,7.26,3.94,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_only_y__seed8929.out,3.97,2.72,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed1214.out,58.28,28.88,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed3006.out,68.32,29.76,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed5368.out,119.77,53.83,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed5897.out,81.62,34.63,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed6369.out,42.37,20.56,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed7491.out,161.61,75.36,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed7853.out,189.77,78.12,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed8671.out,70.28,32.22,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed9255.out,54.86,25.06,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_x__seed9781.out,103.44,42.14,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed2462.out,215.29,85.97,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed3730.out,154.37,66.75,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed4678.out,201.07,87.93,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed5987.out,160.21,68.61,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed6465.out,89.23,39.67,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed7127.out,89.51,38.69,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed7620.out,142.28,63.00,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed7821.out,70.58,34.78,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed8838.out,80.05,35.40,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_only_y__seed9137.out,76.64,34.91,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed1111.out,87.69,37.50,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed1859.out,70.57,30.27,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed4048.out,147.57,64.69,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed4080.out,91.17,40.43,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed4727.out,65.33,28.49,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed5759.out,200.82,76.93,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed8852.out,154.67,64.93,5.000000000000e+02
