file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed9836.out,43.88,22.57,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed9959.out,77.35,36.99,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed1446.out,5.68,3.57,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed2325.out,5.68,3.40,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed2506.out,2.97,2.43,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed6238.out,3.91,2.71,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed7174.out,3.47,2.57,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed8160.out,3.81,2.77,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed8649.out,4.34,2.98,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed9014.out,3.54,2.75,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed9044.out,4.62,3.06,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_mixed__seed9459.out,38.09,18.67,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed1041.out,3.48,2.59,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed1281.out,4.19,2.80,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed2249.out,27.50,12.80,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed2797.out,4.53,3.00,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed5803.out,32.19,14.40,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed7764.out,3.49,2.60,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed9151.out,35.07,18.10,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed9408.out,2.77,2.27,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed9575.out,3.94,2.79,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_x__seed9722.out,4.28,2.89,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed1070.out,2.12,2.02,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed1890.out,2.70,2.32,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed2505.out,4.46,2.99,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed2555.out,5.09,3.37,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed2967.out,51.03,26.09,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed3687.out,4.28,3.07,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed3855.out,41.53,19.63,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed6173.out,2.81,2.50,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed6398.out,4.55,3.04,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_only_y__seed6895.out,4.11,2.87,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed3560.out,150.65,74.30,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed3980.out,155.73,72.91,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed5678.out,127.77,59.78,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed6436.out,120.08,60.29,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed6761.out,148.80,68.16,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed6935.out,127.96,59.00,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed7346.out,159.04,78.94,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed8656.out,132.56,60.11,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed9322.out,41.03,21.72,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_x__seed9770.out,137.38,64.31,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed2604.out,186.40,90.37,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed3242.out,108.63,55.02,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed4740.out,49.81,26.55,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed4956.out,271.31,123.01,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed5787.out,169.00,79.72,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed6578.out,239.38,104.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed7323.out,224.64,99.36,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed7602.out,61.45,31.15,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed9586.out,70.65,37.23,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_only_y__seed9697.out,240.41,109.76,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed2896.out,165.14,77.15,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed3618.out,126.80,55.41,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed3680.out,168.64,82.03,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed3703.out,140.59,61.64,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed4794.out,161.50,66.50,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed7117.out,225.82,105.55,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed7662.out,186.92,83.86,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed7885.out,197.00,97.10,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed8763.out,149.66,72.28,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_pure_linear_x_and_y__seed9583.out,52.91,25.88,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed1016.out,3.51,2.53,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed2245.out,4.52,2.98,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed3743.out,39.77,20.32,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed3778.out,5.53,3.33,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed4166.out,2.69,2.28,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed5209.out,2.14,2.02,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed5922.out,3.89,2.85,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed6268.out,3.32,2.56,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed7299.out,2.00,2.00,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_separate__seed7470.out,4.41,2.99,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed1922.out,67.14,33.61,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed2462.out,61.28,30.49,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed2707.out,51.06,27.62,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed3491.out,51.20,29.29,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed3669.out,36.89,20.28,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed4231.out,71.56,35.33,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed5281.out,29.30,16.33,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed7475.out,83.97,43.60,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed8854.out,70.34,37.32,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_x__seed9990.out,261.64,112.42,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed1545.out,79.06,37.21,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed1650.out,61.43,29.99,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed2223.out,99.92,50.76,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed2499.out,62.34,31.83,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed2690.out,56.14,28.04,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed4445.out,120.83,59.59,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed6306.out,49.42,25.63,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed7502.out,56.79,30.76,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed8640.out,82.02,44.64,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_linear_y__seed8785.out,39.23,21.81,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed1962.out,43.62,22.84,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed2371.out,68.98,34.19,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed2653.out,43.85,23.95,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed4668.out,4.07,2.87,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed4725.out,5.44,3.49,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed6701.out,60.17,29.03,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed7501.out,44.82,24.15,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed7813.out,73.65,35.20,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed8136.out,4.06,2.92,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_mixed__seed8626.out,63.53,33.28,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed1480.out,34.93,15.91,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed4445.out,6.31,3.87,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed4817.out,3.37,2.67,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed5561.out,48.40,23.21,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed5592.out,3.95,2.84,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed5775.out,4.64,3.15,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed6853.out,55.28,25.68,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed7784.out,48.27,23.12,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed8172.out,27.51,15.41,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_x__seed8467.out,42.37,21.29,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed1444.out,50.12,23.72,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed2696.out,62.19,30.77,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed4742.out,67.17,32.50,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed4994.out,69.09,34.24,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed5908.out,50.69,25.83,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed6147.out,51.87,27.93,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed6906.out,36.18,19.26,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed7243.out,51.19,24.65,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed7664.out,47.45,23.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_only_y__seed9057.out,53.51,26.78,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed1351.out,126.55,55.95,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed1839.out,153.00,69.66,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed1951.out,172.10,75.81,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed4559.out,50.80,24.88,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed7693.out,178.52,80.98,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed7719.out,192.45,86.72,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed7807.out,221.05,109.97,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed8994.out,143.48,63.65,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed9387.out,165.89,75.25,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_x__seed9525.out,38.02,20.45,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed1564.out,225.32,105.93,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed2491.out,219.85,100.45,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed3143.out,240.64,122.88,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed5012.out,218.55,101.89,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed5418.out,310.31,147.34,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed6231.out,257.37,119.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed6476.out,224.13,101.61,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed7235.out,51.20,23.83,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed7247.out,177.16,85.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_only_y__seed9061.out,152.67,73.01,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed1708.out,160.80,74.62,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed4575.out,233.38,114.48,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed4934.out,179.70,88.03,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed5620.out,220.13,104.93,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed5627.out,334.97,142.66,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed7471.out,205.55,101.72,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed8197.out,201.29,96.08,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed9570.out,211.65,96.84,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed9854.out,148.54,75.09,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_pure_linear_x_and_y__seed9939.out,256.86,112.96,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed2678.out,79.20,39.74,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed3604.out,61.18,29.48,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed3863.out,90.22,40.77,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed4130.out,79.60,36.59,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed4493.out,70.80,33.17,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed6128.out,36.40,19.61,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed7494.out,49.85,25.30,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed8027.out,43.17,21.98,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed8521.out,60.73,29.53,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__numerous_vars_few_perms_separate__seed9925.out,3.12,2.54,5.000000000000e+02
