filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__many_vars_few_perms_pure_linear_only_y__seed7894.out,Optimal solution found,1.000000000000e+03,0.0000%,1422.88,875.29,33.3%,8177429,1208
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__few_vars_few_perms_only_xs__seed5996.out,Optimal solution found,1.000000000000e+03,0.0000%,7.53,6.18,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__many_vars_few_perms_only_ys__seed3482.out,Optimal solution found,1.000000000000e+03,0.0000%,6.68,6.24,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__many_vars_few_perms_only_xs__seed9593.out,Optimal solution found,1.000000000000e+03,0.0000%,135.69,82.49,0.44%,97745,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__numerous_vars_few_perms_linear_y__seed8088.out,Optimal solution found,1.000000000000e+03,0.0000%,15.02,10.76,0.00%,81258,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__numerous_vars_few_perms_linear_y__seed1047.out,Optimal solution found,1.000000000000e+03,0.0000%,21.79,13.61,0.00%,82215,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__many_vars_few_perms_mixed__seed8979.out,Optimal solution found,1.000000000000e+03,0.0000%,7.62,6.33,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__few_vars_few_perms_only_ys__seed7001.out,Optimal solution found,1.000000000000e+03,0.0000%,6.37,5.77,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__thousand_vars_few_perms_linear_x__seed6766.out,Optimal solution found,1.000000000000e+03,0.0000%,237.54,132.18,9.29%,156851,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__thousand_vars_few_perms_only_xs__seed5198.out,Optimal solution found,1.000000000000e+03,0.0000%,307.42,145.82,2.00%,99524,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__few_vars_few_perms_only_ys__seed3273.out,Optimal solution found,1.000000000000e+03,0.0000%,6.37,5.73,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes5_seed2042__few_vars_few_perms_pure_linear_only_y__seed4935.out,Optimal solution found,1.000000000000e+03,0.0000%,1146.23,529.30,35.0%,1342434,1
