filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_y__seed2525.out,Optimal solution found,5.120000000000e+02,0.0000%,5.93,3.82,0.00%,35196,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_x_and_y__seed7845.out,Optimal solution found,5.120000000000e+02,0.0000%,158.99,85.05,35.4%,656829,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_linear_y__seed5363.out,Optimal solution found,5.120000000000e+02,0.0000%,105.72,55.82,1.00%,324058,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_y__seed3677.out,Optimal solution found,5.120000000000e+02,0.0000%,368.76,202.09,22.7%,2198815,1205
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_mixed__seed9948.out,Optimal solution found,5.120000000000e+02,0.0000%,5.74,3.53,0.00%,26119,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_linear_x__seed2172.out,Optimal solution found,5.120000000000e+02,0.0000%,59.98,36.19,0.61%,35284,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_x_and_y__seed5942.out,Optimal solution found,5.120000000000e+02,0.0000%,217.18,119.04,34.1%,691398,105
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_x__seed7942.out,Optimal solution found,5.120000000000e+02,0.0000%,183.04,104.75,35.6%,501879,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_separate__seed2906.out,Optimal solution found,5.120000000000e+02,0.0000%,5.98,4.16,0.00%,29924,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_y__seed6011.out,Optimal solution found,5.120000000000e+02,0.0000%,173.13,89.81,35.1%,952745,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_separate__seed7315.out,Optimal solution found,5.120000000000e+02,0.0000%,33.84,20.69,0.23%,44541,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_y__seed3394.out,Optimal solution found,5.120000000000e+02,0.0000%,237.50,127.87,35.5%,985272,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_mixed__seed4220.out,Optimal solution found,5.120000000000e+02,0.0000%,5.60,3.70,0.00%,35052,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_mixed__seed5004.out,Optimal solution found,5.120000000000e+02,0.0000%,44.39,26.65,2.69%,50451,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_y__seed9597.out,Optimal solution found,5.120000000000e+02,0.0000%,164.67,89.03,32.9%,26880,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_x__seed7053.out,Optimal solution found,5.120000000000e+02,0.0000%,4.11,2.97,0.00%,30445,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_separate__seed7593.out,Optimal solution found,5.120000000000e+02,0.0000%,2.09,2.16,0.00%,34171,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_mixed__seed6882.out,Optimal solution found,5.120000000000e+02,0.0000%,4.55,3.21,0.00%,33058,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_x_and_y__seed4421.out,Optimal solution found,5.120000000000e+02,0.0000%,217.68,115.24,35.5%,710421,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_x__seed7258.out,Optimal solution found,5.120000000000e+02,0.0000%,144.37,84.04,0.61%,124301,35
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_x__seed7554.out,Optimal solution found,5.120000000000e+02,0.0000%,4.91,3.34,0.00%,36057,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_only_y__seed4056.out,Optimal solution found,5.120000000000e+02,0.0000%,332.57,179.43,33.4%,2046634,1444
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_linear_x__seed7048.out,Optimal solution found,5.120000000000e+02,0.0000%,25.30,17.55,2.69%,46241,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_separate__seed8892.out,Optimal solution found,5.120000000000e+02,0.0000%,50.53,32.05,2.32%,59431,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_x__seed7166.out,Optimal solution found,5.120000000000e+02,0.0000%,201.48,102.52,35.7%,1505529,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_only_x__seed1404.out,Optimal solution found,5.120000000000e+02,0.0000%,4.10,3.09,0.00%,36436,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_only_x__seed7667.out,Optimal solution found,5.120000000000e+02,0.0000%,2.19,1.92,0.00%,0,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_x_and_y__seed1186.out,Optimal solution found,5.120000000000e+02,0.0000%,226.26,116.27,35.0%,450719,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_y__seed5954.out,Optimal solution found,5.120000000000e+02,0.0000%,261.09,149.52,11.0%,977211,582
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_x__seed1565.out,Optimal solution found,5.120000000000e+02,0.0000%,83.78,53.42,11.9%,51636,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_y__seed2703.out,Optimal solution found,5.120000000000e+02,0.0000%,75.46,43.77,0.42%,46227,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_y__seed9645.out,Optimal solution found,5.120000000000e+02,0.0000%,61.10,38.01,4.51%,86965,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_y__seed6968.out,Optimal solution found,5.120000000000e+02,0.0000%,100.98,55.68,0.23%,47556,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_mixed__seed1732.out,Optimal solution found,5.120000000000e+02,0.0000%,4.87,3.43,0.00%,32310,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_y__seed2230.out,Optimal solution found,5.120000000000e+02,0.0000%,5.86,3.87,0.00%,35893,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_y__seed2728.out,Optimal solution found,5.120000000000e+02,0.0000%,95.60,53.11,35.5%,361892,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_x__seed7387.out,Optimal solution found,5.120000000000e+02,0.0000%,4.57,3.16,0.00%,27357,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_x_and_y__seed6109.out,Optimal solution found,5.120000000000e+02,0.0000%,411.66,229.36,34.0%,3391540,3469
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_x_and_y__seed1460.out,Optimal solution found,5.120000000000e+02,0.0000%,259.51,142.04,32.0%,695204,260
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_y__seed2048.out,Optimal solution found,5.120000000000e+02,0.0000%,70.07,47.90,2.69%,72359,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_y__seed3576.out,Optimal solution found,5.120000000000e+02,0.0000%,6.66,4.09,0.00%,40963,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_x_and_y__seed6082.out,Optimal solution found,5.120000000000e+02,0.0000%,226.26,128.56,34.4%,526295,35
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_x__seed3558.out,Optimal solution found,5.120000000000e+02,0.0000%,167.72,84.95,35.6%,443598,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_separate__seed9277.out,Optimal solution found,5.120000000000e+02,0.0000%,5.88,4.04,0.00%,25342,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_x_and_y__seed4392.out,Optimal solution found,5.120000000000e+02,0.0000%,178.69,97.98,35.5%,561464,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_y__seed8695.out,Optimal solution found,5.120000000000e+02,0.0000%,5.26,3.54,0.00%,40267,1
