filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed5927.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.51,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_y__seed6189.out,Optimal solution found,1.000000000000e+03,0.0000%,213.14,118.17,0.21%,116958,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_xs__seed3492.out,Optimal solution found,1.000000000000e+03,0.0000%,7.60,6.19,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed2293.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.42,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_y__seed2113.out,Optimal solution found,1.000000000000e+03,0.0000%,7.83,6.38,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_x__seed2492.out,Optimal solution found,1.000000000000e+03,0.0000%,1238.82,620.96,33.3%,1371978,605
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_y__seed3755.out,Optimal solution found,1.000000000000e+03,0.0000%,667.05,326.24,33.3%,162639,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_x_and_y__seed7448.out,Optimal solution found,1.000000000000e+03,0.0000%,637.03,365.75,30.8%,1232006,70
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_x__seed9467.out,Optimal solution found,1.000000000000e+03,0.0000%,925.87,515.37,33.3%,705613,30
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_xs__seed4713.out,Optimal solution found,1.000000000000e+03,0.0000%,7.54,6.20,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_y__seed1744.out,,,0.2991%,1882.90,1229.12,33.3%,250469,13
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_x__seed9672.out,Optimal solution found,1.000000000000e+03,0.0000%,128.98,67.11,0.11%,142301,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_x__seed5739.out,Optimal solution found,1.000000000000e+03,0.0000%,858.06,446.69,33.3%,615079,106
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_y__seed5522.out,Optimal solution found,1.000000000000e+03,0.0000%,198.99,107.07,0.11%,140037,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_only_xs__seed5386.out,Optimal solution found,1.000000000000e+03,0.0000%,7.69,6.40,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_y__seed3952.out,Optimal solution found,1.000000000000e+03,0.0000%,1315.02,667.00,31.5%,1557995,307
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_mixed__seed2098.out,Optimal solution found,1.000000000000e+03,0.0000%,204.82,105.78,0.70%,101614,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_only_xs__seed6243.out,Optimal solution found,1.000000000000e+03,0.0000%,22.77,13.70,0.00%,82818,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_separate__seed1364.out,Optimal solution found,1.000000000000e+03,0.0000%,334.52,168.13,3.48%,111880,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_y__seed1174.out,Optimal solution found,1.000000000000e+03,0.0000%,1682.91,864.63,31.7%,1678507,924
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed5590.out,Optimal solution found,1.000000000000e+03,0.0000%,7.64,6.25,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed4470.out,Optimal solution found,1.000000000000e+03,0.0000%,166.85,91.97,0.60%,143418,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_x_and_y__seed1336.out,Optimal solution found,1.000000000000e+03,0.0000%,1024.20,535.78,33.2%,575590,53
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_x_and_y__seed8306.out,Optimal solution found,1.000000000000e+03,0.0000%,846.65,453.18,33.2%,659877,25
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_linear_y__seed2540.out,Optimal solution found,1.000000000000e+03,0.0000%,17.37,11.41,0.00%,92208,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed5619.out,Optimal solution found,1.000000000000e+03,0.0000%,7.54,6.08,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_y__seed6405.out,Optimal solution found,1.000000000000e+03,0.0000%,109.89,62.31,0.11%,106620,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed7078.out,Optimal solution found,1.000000000000e+03,0.0000%,111.64,68.97,1.00%,101375,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed1354.out,Optimal solution found,1.000000000000e+03,0.0000%,6.36,5.81,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed5126.out,Optimal solution found,1.000000000000e+03,0.0000%,6.36,5.80,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed2313.out,Optimal solution found,1.000000000000e+03,0.0000%,247.42,128.75,33.3%,106505,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_y__seed6956.out,Optimal solution found,1.000000000000e+03,0.0000%,1443.44,744.85,30.7%,1440203,119
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed2956.out,Optimal solution found,1.000000000000e+03,0.0000%,7.64,6.20,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_x_and_y__seed6147.out,Optimal solution found,1.000000000000e+03,0.0000%,972.47,547.65,30.8%,1380834,28
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed4166.out,Optimal solution found,1.000000000000e+03,0.0000%,6.35,5.75,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_y__seed1551.out,Optimal solution found,1.000000000000e+03,0.0000%,1366.85,704.10,33.2%,1521038,103
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_x_and_y__seed2651.out,Optimal solution found,1.000000000000e+03,0.0000%,1483.43,726.91,33.1%,745616,613
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_x_and_y__seed8717.out,Optimal solution found,1.000000000000e+03,0.0000%,1107.83,567.59,33.2%,1306126,307
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_x__seed4642.out,Optimal solution found,1.000000000000e+03,0.0000%,6.38,5.82,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_x_and_y__seed6493.out,Optimal solution found,1.000000000000e+03,0.0000%,1220.05,637.82,33.1%,1869852,98
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_x_and_y__seed1593.out,Optimal solution found,1.000000000000e+03,0.0000%,887.51,398.98,33.3%,1428593,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed9437.out,Optimal solution found,1.000000000000e+03,0.0000%,56.93,40.94,1.29%,94484,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed3300.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.49,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_x_and_y__seed7721.out,Optimal solution found,1.000000000000e+03,0.0000%,925.91,474.85,33.2%,683431,27
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed9605.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.44,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed5355.out,Optimal solution found,1.000000000000e+03,0.0000%,1162.98,607.98,33.3%,1343621,755
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_y__seed7972.out,Optimal solution found,1.000000000000e+03,0.0000%,958.75,439.70,33.3%,1390329,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_y__seed2815.out,Optimal solution found,1.000000000000e+03,0.0000%,148.39,92.44,0.70%,124639,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_mixed__seed8346.out,Optimal solution found,1.000000000000e+03,0.0000%,6.38,5.78,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_y__seed6461.out,Optimal solution found,1.000000000000e+03,0.0000%,1337.70,706.24,31.0%,1033323,331
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed1318.out,Optimal solution found,1.000000000000e+03,0.0000%,566.03,281.03,33.3%,175451,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_mixed__seed5341.out,Optimal solution found,1.000000000000e+03,0.0000%,18.62,11.92,0.00%,73531,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_x_and_y__seed8939.out,Optimal solution found,1.000000000000e+03,0.0000%,1174.67,540.34,30.7%,364547,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_y__seed3328.out,Optimal solution found,1.000000000000e+03,0.0000%,1442.00,874.50,32.0%,236702,18
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_y__seed9222.out,Optimal solution found,1.000000000000e+03,0.0000%,1675.13,804.90,30.9%,343069,28
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_y__seed4301.out,Optimal solution found,1.000000000000e+03,0.0000%,158.21,91.09,0.11%,145487,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_linear_x__seed7525.out,Optimal solution found,1.000000000000e+03,0.0000%,176.99,105.66,8.52%,187606,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_linear_x__seed4992.out,Optimal solution found,1.000000000000e+03,0.0000%,150.91,99.45,4.41%,134479,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_x_and_y__seed8695.out,Optimal solution found,1.000000000000e+03,0.0000%,1118.84,621.27,31.1%,806832,27
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed7858.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.42,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed2578.out,Optimal solution found,1.000000000000e+03,0.0000%,6.37,5.73,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_linear_y__seed1172.out,Optimal solution found,1.000000000000e+03,0.0000%,14.17,10.21,0.00%,90643,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_linear_y__seed5670.out,Optimal solution found,1.000000000000e+03,0.0000%,14.14,9.92,0.00%,89254,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed4451.out,Optimal solution found,1.000000000000e+03,0.0000%,6.36,5.74,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_x_and_y__seed4508.out,Optimal solution found,1.000000000000e+03,0.0000%,585.80,291.87,33.0%,166513,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed9487.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.27,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_y__seed8889.out,Optimal solution found,1.000000000000e+03,0.0000%,1037.61,577.53,31.6%,2108781,527
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed2978.out,Optimal solution found,1.000000000000e+03,0.0000%,134.64,85.01,2.16%,100538,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_linear_y__seed9706.out,Optimal solution found,1.000000000000e+03,0.0000%,8.55,6.81,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_mixed__seed6500.out,Optimal solution found,1.000000000000e+03,0.0000%,17.41,11.40,0.00%,60167,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_x_and_y__seed4654.out,Optimal solution found,1.000000000000e+03,0.0000%,1212.28,631.68,33.0%,926479,1244
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_xs__seed3812.out,Optimal solution found,1.000000000000e+03,0.0000%,7.54,6.15,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_only_xs__seed2877.out,Optimal solution found,1.000000000000e+03,0.0000%,17.10,11.11,0.00%,92761,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_xs__seed6572.out,Optimal solution found,1.000000000000e+03,0.0000%,7.54,6.17,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed8465.out,Optimal solution found,1.000000000000e+03,0.0000%,833.95,448.22,33.3%,771022,26
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_mixed__seed1489.out,Optimal solution found,1.000000000000e+03,0.0000%,7.97,6.62,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_mixed__seed1483.out,Optimal solution found,1.000000000000e+03,0.0000%,15.54,10.43,0.00%,76422,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_only_xs__seed7859.out,Optimal solution found,1.000000000000e+03,0.0000%,9.59,6.96,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_only_xs__seed2921.out,Optimal solution found,1.000000000000e+03,0.0000%,6.56,6.30,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_x__seed9576.out,Optimal solution found,1.000000000000e+03,0.0000%,677.87,338.08,33.3%,168930,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_separate__seed8239.out,Optimal solution found,1.000000000000e+03,0.0000%,7.64,6.16,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_mixed__seed5566.out,Optimal solution found,1.000000000000e+03,0.0000%,6.58,5.98,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_mixed__seed8543.out,Optimal solution found,1.000000000000e+03,0.0000%,7.29,6.09,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_y__seed7199.out,Optimal solution found,1.000000000000e+03,0.0000%,141.90,80.56,1.39%,94759,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed5235.out,Optimal solution found,1.000000000000e+03,0.0000%,6.35,5.73,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed7811.out,Optimal solution found,1.000000000000e+03,0.0000%,1269.08,593.54,33.3%,195227,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed5021.out,Optimal solution found,1.000000000000e+03,0.0000%,589.59,291.68,33.3%,176049,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_y__seed5959.out,Optimal solution found,1.000000000000e+03,0.0000%,360.42,171.40,33.2%,15392,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_x_and_y__seed4533.out,Optimal solution found,1.000000000000e+03,0.0000%,1034.78,574.07,31.2%,1076035,27
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_mixed__seed7884.out,Optimal solution found,1.000000000000e+03,0.0000%,7.64,6.18,0.00%,0,1
