filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n2000_B100_classes3_seed2042_nonconvex2_presolve-1_symmetry1.out,,,11.1901%,8303.72,2172.36,33.3%,4005522,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042_nonconvex2_presolve-1_symmetry2.out,,,11.1901%,8303.72,2172.55,33.3%,4005522,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042_nonconvex2_presolve-1_symmetry-1.out,Optimal solution found,1.000000000000e+03,0.0000%,437.19,234.79,33.3%,4016155,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042_nonconvex2_presolve0_symmetry0.out,Optimal solution found,1.000000000000e+03,0.0000%,810.93,416.44,33.3%,190748,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_only_ys__seed9577.out,Optimal solution found,1.000000000000e+03,0.0000%,297.23,154.44,1.58%,125677,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_x_and_y__seed5219.out,Optimal solution found,1.000000000000e+03,0.0000%,925.07,463.65,33.3%,176860,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_x_and_y__seed2319.out,Optimal solution found,1.000000000000e+03,0.0000%,204.46,110.60,32.9%,117350,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_y__seed6004.out,Optimal solution found,1.000000000000e+03,0.0000%,228.40,119.30,33.1%,142568,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_x__seed8030.out,Optimal solution found,1.000000000000e+03,0.0000%,751.32,409.31,33.3%,872266,107
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_separate__seed5159.out,Optimal solution found,1.000000000000e+03,0.0000%,6.44,5.96,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed5397.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.35,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed1343.out,Optimal solution found,1.000000000000e+03,0.0000%,98.88,69.15,1.39%,98926,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_x_and_y__seed1678.out,Optimal solution found,1.000000000000e+03,0.0000%,970.08,463.75,33.3%,1870722,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_x__seed3239.out,Optimal solution found,1.000000000000e+03,0.0000%,674.71,335.23,33.3%,126083,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed9065.out,Optimal solution found,1.000000000000e+03,0.0000%,6.36,5.77,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_x_and_y__seed7116.out,Optimal solution found,1.000000000000e+03,0.0000%,1252.49,670.53,31.1%,4833249,837
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed5619.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.41,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed6606.out,Optimal solution found,1.000000000000e+03,0.0000%,139.55,82.48,1.39%,102684,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_only_x__seed6816.out,Optimal solution found,1.000000000000e+03,0.0000%,1007.33,532.01,33.3%,823777,23
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_separate__seed6751.out,Optimal solution found,1.000000000000e+03,0.0000%,9.75,7.53,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_y__seed5249.out,Optimal solution found,1.000000000000e+03,0.0000%,169.62,91.25,1.19%,148222,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_x__seed8254.out,Optimal solution found,1.000000000000e+03,0.0000%,85.73,45.93,0.31%,135199,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed1029.out,Optimal solution found,1.000000000000e+03,0.0000%,6.35,5.75,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_pure_linear_x_and_y__seed6705.out,Optimal solution found,1.000000000000e+03,0.0000%,695.33,315.99,33.3%,150243,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_x_and_y__seed7353.out,Optimal solution found,1.000000000000e+03,0.0000%,246.83,118.89,33.2%,127159,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_x__seed9123.out,Optimal solution found,1.000000000000e+03,0.0000%,215.29,118.26,33.3%,111591,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_y__seed9878.out,Optimal solution found,1.000000000000e+03,0.0000%,1324.86,679.14,33.0%,1045422,27
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_x__seed9649.out,Optimal solution found,1.000000000000e+03,0.0000%,1006.91,569.94,33.3%,2150600,1062
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_y__seed3619.out,Optimal solution found,1.000000000000e+03,0.0000%,7.64,6.34,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_linear_x__seed1564.out,Optimal solution found,1.000000000000e+03,0.0000%,128.08,73.70,0.11%,132721,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_xs__seed1874.out,Optimal solution found,1.000000000000e+03,0.0000%,7.54,6.10,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_only_xs__seed7967.out,Optimal solution found,1.000000000000e+03,0.0000%,7.67,6.31,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_mixed__seed7376.out,Optimal solution found,1.000000000000e+03,0.0000%,7.17,6.27,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_mixed__seed9561.out,Optimal solution found,1.000000000000e+03,0.0000%,6.52,5.90,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_y__seed8977.out,Optimal solution found,1.000000000000e+03,0.0000%,954.54,504.87,32.0%,930465,25
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_y__seed4195.out,Optimal solution found,1.000000000000e+03,0.0000%,1255.97,636.23,31.5%,833064,26
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_y__seed9914.out,Optimal solution found,1.000000000000e+03,0.0000%,1067.31,582.34,31.7%,682011,23
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_mixed__seed3208.out,Optimal solution found,1.000000000000e+03,0.0000%,21.14,12.75,0.00%,90042,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed2296.out,Optimal solution found,1.000000000000e+03,0.0000%,5.29,5.50,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_x_and_y__seed3903.out,Optimal solution found,1.000000000000e+03,0.0000%,1142.31,573.14,33.0%,1420102,387
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_only_xs__seed8937.out,Optimal solution found,1.000000000000e+03,0.0000%,6.46,5.86,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_mixed__seed6385.out,Optimal solution found,1.000000000000e+03,0.0000%,6.53,6.06,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_only_xs__seed9773.out,Optimal solution found,1.000000000000e+03,0.0000%,8.90,6.95,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed4973.out,Optimal solution found,1.000000000000e+03,0.0000%,6.35,5.68,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_y__seed4742.out,Optimal solution found,1.000000000000e+03,0.0000%,966.40,440.54,33.0%,1435553,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_pure_linear_only_y__seed1811.out,Optimal solution found,1.000000000000e+03,0.0000%,972.25,522.54,31.0%,1886303,530
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_y__seed2525.out,Optimal solution found,1.000000000000e+03,0.0000%,134.13,86.32,0.80%,100132,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed7460.out,Optimal solution found,1.000000000000e+03,0.0000%,8.41,6.61,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_separate__seed2859.out,Optimal solution found,1.000000000000e+03,0.0000%,112.13,62.41,0.11%,4014451,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_mixed__seed8592.out,Optimal solution found,1.000000000000e+03,0.0000%,8.74,6.74,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_y__seed2082.out,Optimal solution found,1.000000000000e+03,0.0000%,754.17,342.83,33.0%,1347998,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_pure_linear_only_x__seed4983.out,Optimal solution found,1.000000000000e+03,0.0000%,1006.79,541.52,33.3%,873598,27
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_few_perms_only_ys__seed7357.out,Optimal solution found,1.000000000000e+03,0.0000%,6.38,5.70,0.00%,0,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_pure_linear_only_y__seed3439.out,Optimal solution found,1.000000000000e+03,0.0000%,239.22,120.87,33.0%,149146,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__thousand_vars_few_perms_only_ys__seed2632.out,Optimal solution found,1.000000000000e+03,0.0000%,272.85,153.34,4.41%,105646,1
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed2002.out,Optimal solution found,1.000000000000e+03,0.0000%,163.96,94.45,0.51%,106914,1
